STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-01,40.0,70.0,,,706.0,0.0,63.0,0.0,2.0,,29.0,16.0,348.0,,,,315.0,315.0,0.3,,,,28.9,17.0,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-02,10.0,0.0,,,1548.0,0.0,100.0,0.0,1.0,,28.0,19.0,558.0,,,,315.0,270.0,,,,,30.0,19.0,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-03,50.0,50.0,,,236.0,0.14,61.0,2.2,1.0,,30.0,17.0,336.0,,,,270.0,270.0,,,,,24.2,15.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-04,70.0,70.0,,,2242.0,0.02,94.0,0.2,3.0,,27.0,19.0,522.0,,,,315.0,315.0,0.4,,,,26.4,17.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-05,10.0,0.0,,,1342.0,0.0,100.0,0.0,3.0,,30.0,18.0,552.0,,,,270.0,315.0,0.3,,,,32.2,19.0,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-06,40.0,10.0,,,1424.0,0.0,93.0,0.0,3.0,,31.0,23.0,516.0,,,,270.0,315.0,0.3,,,,27.5,17.9,,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-07,90.0,100.0,,,1124.0,0.07,0.0,0.7,2.0,,26.0,19.0,0.0,,,,45.0,360.0,0.3,,,,24.2,17.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-08,50.0,20.0,,,330.0,0.01,72.0,0.1,2.0,,24.0,13.0,396.0,,,,315.0,315.0,0.3,,,,23.0,16.1,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-09,10.0,0.0,,,1724.0,0.0,100.0,0.0,2.0,,22.0,10.0,558.0,,,,270.0,270.0,0.2,,,,39.1,25.1,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-10,70.0,90.0,,,1336.0,0.0,52.0,0.0,2.0,,26.0,13.0,288.0,,,,315.0,270.0,0.2,,,,40.3,29.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-11,0.0,0.0,,,1418.0,0.0,100.0,0.0,2.0,,28.0,14.0,558.0,,,,315.0,315.0,0.2,,,,39.1,27.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-12,100.0,100.0,,,106.0,0.04,10.0,0.8,1.0,,21.0,13.0,54.0,,,,360.0,360.0,,,,,19.5,14.1,,,,,,,,1.0,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-13,40.0,20.0,,,1506.0,0.01,94.0,0.2,1.0,,30.0,19.0,528.0,,,,315.0,315.0,,,,,38.0,25.1,,,,,,,,1.0,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-14,0.0,0.0,,,2242.0,0.0,99.0,0.0,1.0,,21.0,12.0,558.0,,,,315.0,315.0,,,,,40.3,25.9,,,,,,,,,,,,,,,,,,,,
