Timestamp,Humidity (%),Temp (C),Temp (F),Light Level (eV),Brightness
2025-05-06T11:20:29,48.3,14.2,57.5,3383,Very Bright
2025-05-06T11:20:30,48.3,14.2,57.5,3383,Very Bright
2025-05-06T11:20:31,45.7,14.3,57.8,3379,Very Bright
2025-05-06T11:20:32,45.7,14.2,57.5,3381,Very Bright
2025-05-06T11:20:33,45.7,14.2,57.5,3382,Very Bright
2025-05-06T11:20:34,45.7,12.8,55.1,3377,Very Bright
2025-05-06T11:20:35,45.7,14.3,57.8,3389,Very Bright
2025-05-06T11:20:36,45.7,14.1,57.4,3387,Very Bright
2025-05-06T11:20:37,45.8,14.2,57.5,3385,Very Bright
2025-05-06T11:20:39,45.8,13.9,56.9,3378,Very Bright
2025-05-06T11:20:40,45.8,14.6,58.2,3382,Very Bright
2025-05-06T11:20:41,45.8,13.8,56.8,3387,Very Bright
2025-05-06T11:20:42,45.8,14.1,57.4,3389,Very Bright
2025-05-06T11:20:43,45.8,14.3,57.7,3388,Very Bright
2025-05-06T11:20:44,45.8,14.1,57.4,3383,Very Bright
2025-05-06T11:20:45,45.8,13.8,56.8,3388,Very Bright
2025-05-06T11:20:46,45.9,14.2,57.5,3385,Very Bright
2025-05-06T11:20:47,45.9,14.4,58.0,3382,Very Bright
2025-05-06T11:20:48,45.9,14.2,57.5,3389,Very Bright
2025-05-06T11:20:49,45.9,13.1,55.6,3383,Very Bright
2025-05-06T11:20:50,45.9,13.9,56.9,3385,Very Bright
2025-05-06T11:20:51,45.9,14.2,57.5,3391,Very Bright
2025-05-06T11:20:52,45.9,14.2,57.5,3383,Very Bright
2025-05-06T11:20:53,45.9,14.3,57.7,3378,Very Bright
2025-05-06T11:20:54,45.9,14.2,57.5,3387,Very Bright
2025-05-06T11:20:55,45.9,12.6,54.8,3388,Very Bright
2025-05-06T11:20:56,46.0,14.1,57.4,3383,Very Bright
2025-05-06T11:20:57,46.0,14.1,57.4,3389,Very Bright
2025-05-06T11:20:58,46.0,14.0,57.2,3389,Very Bright
2025-05-06T11:20:59,46.0,13.9,56.9,3383,Very Bright
2025-05-06T11:21:00,46.0,14.1,57.4,3385,Very Bright
2025-05-06T11:21:01,46.0,14.2,57.5,3385,Very Bright
2025-05-06T11:21:03,46.1,14.2,57.5,3392,Very Bright
2025-05-06T11:21:04,46.1,14.3,57.7,3387,Very Bright
2025-05-06T11:21:05,46.1,13.9,57.1,3392,Very Bright
2025-05-06T11:21:06,46.1,13.8,56.8,3381,Very Bright
2025-05-06T11:21:07,46.1,13.9,57.1,3381,Very Bright
2025-05-06T11:21:08,46.1,14.0,57.2,3386,Very Bright
2025-05-06T11:21:09,46.1,14.2,57.5,3392,Very Bright
2025-05-06T11:21:10,46.1,14.2,57.5,3390,Very Bright
2025-05-06T11:21:12,46.2,14.2,57.5,3387,Very Bright
2025-05-06T11:21:13,46.2,13.9,57.1,3389,Very Bright
2025-05-06T11:21:14,46.2,13.9,57.1,3388,Very Bright
2025-05-06T11:21:15,46.2,14.0,57.2,3387,Very Bright
2025-05-06T11:21:16,46.2,14.1,57.4,3385,Very Bright
2025-05-06T11:21:17,46.2,13.9,57.1,3388,Very Bright
2025-05-06T11:21:18,46.2,14.2,57.5,3389,Very Bright
2025-05-06T11:21:19,46.2,14.1,57.4,3391,Very Bright
2025-05-06T11:21:20,46.3,14.3,57.7,3390,Very Bright
2025-05-06T11:21:21,46.3,13.6,56.5,3392,Very Bright
2025-05-06T11:21:22,46.3,13.9,57.1,3392,Very Bright
2025-05-06T11:21:23,46.3,13.8,56.8,3388,Very Bright
2025-05-06T11:21:24,46.3,14.0,57.2,3389,Very Bright
2025-05-06T11:21:25,46.3,12.7,54.9,3382,Very Bright
2025-05-06T11:21:26,46.3,14.0,57.2,3386,Very Bright
2025-05-06T11:21:27,46.3,14.1,57.4,3383,Very Bright
2025-05-06T11:21:28,46.4,13.9,57.1,3387,Very Bright
2025-05-06T11:21:29,46.4,14.2,57.5,3385,Very Bright
2025-05-06T11:21:30,46.3,13.8,56.8,3386,Very Bright
2025-05-06T11:21:31,46.3,13.8,56.8,3389,Very Bright
2025-05-06T11:21:32,46.3,14.0,57.2,3386,Very Bright
2025-05-06T11:21:33,46.3,13.9,56.9,3389,Very Bright
2025-05-06T11:21:34,46.4,14.0,57.2,3385,Very Bright
2025-05-06T11:21:35,46.4,13.9,57.1,3383,Very Bright
2025-05-06T11:21:36,46.4,14.2,57.5,3383,Very Bright
2025-05-06T11:21:37,46.4,14.1,57.4,3390,Very Bright
2025-05-06T11:21:38,46.4,13.9,57.1,3383,Very Bright
2025-05-06T11:21:39,46.4,14.3,57.7,3393,Very Bright
2025-05-06T11:21:40,46.4,14.3,57.7,3392,Very Bright
2025-05-06T11:21:41,46.4,14.1,57.4,3390,Very Bright
2025-05-06T11:21:42,46.5,13.9,57.1,3391,Very Bright
2025-05-06T11:21:43,46.5,13.7,56.7,3387,Very Bright
2025-05-06T11:21:44,46.5,13.8,56.8,3383,Very Bright
2025-05-06T11:21:45,46.5,14.2,57.5,3389,Very Bright
2025-05-06T11:21:46,46.6,14.2,57.5,3385,Very Bright
2025-05-06T11:21:47,46.6,14.0,57.2,3356,Very Bright
2025-05-06T11:21:48,46.6,14.1,57.4,1616,Light
2025-05-06T11:21:49,46.6,14.2,57.5,1387,Light
2025-05-06T11:21:51,46.7,14.2,57.5,1309,Light
2025-05-06T11:21:52,46.7,13.9,57.1,1300,Light
2025-05-06T11:21:53,47.0,14.2,57.5,1196,Light
2025-05-06T11:21:54,47.0,14.2,57.5,1260,Light
2025-05-06T11:21:55,47.7,14.2,57.5,1154,Light
2025-05-06T11:21:56,47.7,13.9,57.1,1174,Light
2025-05-06T11:21:57,48.4,14.2,57.5,1138,Light
2025-05-06T11:21:58,48.4,14.1,57.4,1229,Light
2025-05-06T11:21:59,49.1,14.4,58.0,1516,Light
2025-05-06T11:22:00,49.1,14.3,57.7,1331,Light
2025-05-06T11:22:01,49.8,14.2,57.5,1351,Light
2025-05-06T11:22:02,49.8,14.2,57.5,1322,Light
2025-05-06T11:22:06,50.0,14.1,57.4,3370,Very Bright
2025-05-06T11:22:07,50.0,13.9,56.9,3375,Very Bright
2025-05-06T11:22:08,51.2,14.2,57.5,3379,Very Bright
2025-05-06T11:22:09,51.2,14.1,57.4,3372,Very Bright
2025-05-06T11:22:10,51.0,14.3,57.7,3367,Very Bright
2025-05-06T11:22:11,51.0,13.9,57.1,3371,Very Bright
2025-05-06T11:22:12,50.6,13.9,57.1,3368,Very Bright
