Timestamp,Humidity (%),Temp (°C),Temp (°F)
2025-04-10T12:44:36,15.1,11.0,51.9
2025-04-10T12:44:38,15.5,11.4,52.4
2025-04-10T12:50:43,15.4,10.6,51.0
2025-04-10T12:50:45,16.1,11.4,52.6
2025-04-10T20:06:41,35.1,13.9,56.9
2025-04-10T20:06:44,35.2,14.2,57.5
2025-04-10T20:06:46,35.1,13.7,56.7
2025-04-10T20:06:48,35.1,13.9,57.1
2025-04-10T20:06:50,35.1,14.1,57.4
2025-04-10T20:06:52,35.0,14.0,57.2
2025-04-10T20:06:54,34.9,13.9,56.9
2025-04-10T20:06:56,34.8,13.6,56.5
2025-04-10T20:06:58,34.7,13.8,56.8
2025-04-10T20:07:00,34.6,13.9,57.1
2025-04-10T20:07:02,34.4,14.2,57.5
2025-04-10T20:07:04,34.2,13.8,56.8
2025-04-10T20:19:59,33.0,14.3,57.8
2025-04-10T20:20:00,33.0,14.1,57.4
2025-04-10T20:20:01,32.8,13.8,56.8
2025-04-10T20:20:02,32.8,13.9,56.9
2025-04-10T20:20:03,32.8,14.1,57.4
2025-04-10T20:20:04,32.8,13.9,57.1
2025-04-10T20:20:05,32.8,14.2,57.5
2025-04-10T20:20:06,32.8,13.8,56.8
2025-04-10T20:20:07,32.8,14.2,57.5
2025-04-10T20:20:08,32.8,14.1,57.4
2025-04-10T20:20:09,32.9,13.9,57.1
2025-04-10T20:20:10,32.9,14.0,57.2
2025-04-10T20:20:11,33.1,14.3,57.7
2025-04-10T20:20:12,33.1,13.9,57.1
2025-04-10T20:20:13,33.1,13.6,56.5
2025-04-10T20:20:14,33.1,13.7,56.7
2025-04-10T20:20:15,33.1,14.2,57.5
2025-04-10T20:20:16,33.1,14.0,57.2
2025-04-10T20:20:17,33.0,13.9,57.1
2025-04-10T20:20:18,33.0,14.0,57.2
2025-04-10T20:20:19,33.1,14.4,58.0
2025-04-10T20:20:20,33.1,14.7,58.5
2025-04-10T20:20:21,33.2,13.6,56.5
2025-04-10T20:20:22,33.2,14.3,57.8
2025-04-10T20:20:23,33.2,13.9,56.9
2025-04-10T20:20:24,33.2,13.9,57.1
2025-04-10T20:20:25,33.3,14.0,57.2
2025-04-10T20:20:26,33.3,14.2,57.5
2025-04-10T20:20:27,33.2,14.2,57.5
2025-04-10T20:20:28,33.2,14.2,57.5
2025-04-10T20:20:30,33.2,13.9,57.1
2025-04-10T20:20:31,33.2,14.0,57.2
2025-04-10T20:20:32,33.1,14.1,57.4
2025-04-10T20:20:33,33.1,14.2,57.5
2025-04-10T20:20:34,33.1,14.1,57.4
2025-04-10T20:20:35,33.1,14.1,57.4
2025-04-10T20:20:36,33.1,14.2,57.5
2025-04-10T20:20:37,33.1,14.2,57.5
2025-04-10T20:20:38,33.2,14.1,57.4
2025-04-10T20:20:39,33.2,14.1,57.4
2025-04-10T20:20:40,33.3,14.1,57.4
2025-04-10T20:20:41,33.3,13.8,56.8
2025-04-10T20:20:42,33.2,14.2,57.5
2025-04-10T20:20:43,33.2,13.7,56.7
2025-04-10T20:20:44,33.1,13.9,56.9
2025-04-10T20:20:45,33.1,13.9,57.1
2025-04-10T21:01:58,33.4,14.2,57.5
2025-04-10T21:01:59,33.4,13.9,57.1
2025-04-10T21:02:00,34.5,13.6,56.5
2025-04-10T21:02:01,34.5,13.7,56.7
2025-04-10T21:02:02,34.3,13.9,57.1
2025-04-10T21:02:03,34.3,13.9,57.1
2025-04-10T21:02:04,34.1,13.9,56.9
2025-04-10T21:02:05,34.1,14.2,57.5
2025-04-10T21:02:06,34.0,14.0,57.2
2025-04-10T21:02:07,34.0,13.9,57.1
2025-04-10T21:02:08,33.7,13.9,56.9
2025-04-10T21:02:09,33.7,13.9,56.9
2025-04-10T21:02:10,33.6,14.1,57.4
2025-04-10T21:02:11,33.6,14.2,57.5
2025-04-10T21:02:12,34.2,14.2,57.5
2025-04-10T21:02:13,34.2,14.2,57.5
2025-04-10T21:02:14,34.8,13.7,56.7
2025-04-10T21:02:15,34.8,14.2,57.5
2025-04-10T21:02:16,34.7,13.4,56.1
2025-04-10T21:02:17,34.7,13.8,56.8
2025-04-10T21:02:18,34.6,13.6,56.5
2025-04-10T21:02:19,34.6,14.0,57.2
2025-04-10T21:02:20,34.4,14.2,57.5
2025-04-10T21:02:21,34.4,14.2,57.5
2025-04-10T21:02:22,34.2,14.2,57.5
2025-04-10T21:02:23,34.2,13.9,57.1
2025-04-10T21:02:24,34.0,14.2,57.5
2025-04-10T21:02:25,34.0,14.0,57.2
2025-04-10T21:02:26,33.8,13.9,56.9
2025-04-10T21:02:27,33.8,14.0,57.2
2025-04-10T21:02:28,33.7,14.2,57.5
2025-04-10T21:02:29,33.7,13.8,56.8
2025-04-10T21:02:30,33.6,14.2,57.5
2025-04-10T21:02:31,33.6,14.2,57.5
2025-04-10T21:02:32,33.6,14.2,57.5
2025-04-10T21:02:33,33.6,13.9,57.1
2025-04-10T21:02:34,33.4,14.2,57.5
2025-04-10T21:02:35,33.4,14.3,57.8
